Epoch,Train_Loss,Val_Loss,Timing
1,6.13877066040039,5.707368478178978,3.9856979846954346
2,5.433529048919678,5.470182612538338,1.4312326908111572
3,5.095296867370606,5.39627468585968,1.4254014492034912
4,4.822298053741455,5.426421985030174,1.423335313796997
5,4.571734880447388,5.52570915222168,1.4254300594329834
6,4.344570306777954,5.6594895124435425,1.4280259609222412
7,4.131284423828125,5.787315025925636,1.427826166152954
8,3.9276194095611574,5.91749481856823,1.431764841079712
9,3.7363566131591797,6.052822858095169,1.4280776977539062
10,3.565480478286743,6.190119311213493,1.4259135723114014
11,3.4103013877868653,6.3463302701711655,1.427382230758667
12,3.2720430660247803,6.506156250834465,1.4272956848144531
13,3.152748249053955,6.648408889770508,1.4263396263122559
14,3.0445647773742675,6.779357835650444,1.4322261810302734
15,2.9443244094848633,6.8960956037044525,1.4282588958740234
16,2.848924825668335,7.0240814834833145,1.429753065109253
17,2.760250774383545,7.139547228813171,1.4308927059173584
18,2.676477042198181,7.293836206197739,1.43528151512146
19,2.599179761886597,7.401748523116112,1.4261960983276367
20,2.5263227396011354,7.539755076169968,1.430971384048462
21,2.4575156927108766,7.69160683453083,1.42991042137146
22,2.3972154960632324,7.822455480694771,1.426389455795288
23,2.339066999435425,7.9244919419288635,1.4293336868286133
24,2.283674805641174,8.057246759533882,1.4282307624816895
25,2.2318288526535035,8.187894999980927,1.4272141456604004
26,2.1832340812683104,8.310363084077835,1.4347105026245117
27,2.136618292808533,8.43066069483757,1.428084373474121
28,2.0914904384613036,8.54961821436882,1.4308578968048096
29,2.048622811317444,8.68102851510048,1.4299743175506592
30,2.008321925163269,8.814055860042572,1.4288036823272705
31,1.9692539291381836,8.932627171278,1.4314725399017334
32,1.9317080745697022,9.038314461708069,1.4281845092773438
33,1.895957001209259,9.163733094930649,1.4282357692718506
34,1.861608299255371,9.286795407533646,1.426468849182129
35,1.829399163722992,9.427764266729355,1.428654670715332
36,1.7982237281799316,9.584650248289108,1.4356632232666016
37,1.7684558548927307,9.730335533618927,1.4339580535888672
38,1.7332107167243958,9.896068841218948,1.4289178848266602
39,1.7020097107887269,10.049605399370193,1.4281015396118164
40,1.6707055945396423,10.181304216384888,1.426243543624878
41,1.6451412081718444,10.316251248121262,1.4286534786224365
42,1.6192978472709656,10.461743354797363,1.430983304977417
43,1.5919288740158082,10.600006073713303,1.4326791763305664
44,1.566307267189026,10.74381199479103,1.4292593002319336
45,1.5408813509941102,10.875507295131683,1.4257371425628662
46,1.5177972660064698,11.018199503421783,1.4246766567230225
47,1.4944262237548829,11.166674256324768,1.4260814189910889
48,1.4716722416877746,11.31550458073616,1.4255926609039307
49,1.4491580376625062,11.459524005651474,1.4235742092132568
50,1.4281741771697998,11.601821273565292,1.425290584564209
51,1.4069062232971192,11.745451867580414,1.4276738166809082
52,1.385706332206726,11.87548217177391,1.4239373207092285
53,1.3647490725517273,12.000191867351532,1.4248080253601074
54,1.3441125888824463,12.155317068099976,1.424860954284668
55,1.3246934976577758,12.317773520946503,1.4222476482391357
56,1.3068586578369141,12.490403354167938,1.4248435497283936
57,1.2898226776123047,12.640578478574753,1.4253411293029785
